,Parcel ID,Land Use,Property City,Sale Date,Sale Price,Sold As Vacant,Multiple Parcels Involved in Sale,City,State,Acreage,Neighborhood,Land Value,Building Value,Total Value,Finished Area,Foundation Type,Year Built,Exterior Wall,Grade,Bedrooms,Full Bath,Half Bath
2,118 03 0 130.00,SINGLE FAMILY,NASHVILLE,2013-01-18,202000,No,No,NASHVILLE,TN,0.11,9126.0,34000.0,157800.0,191800.0,2090.82495,SLAB,2000.0,BRICK/FRAME,C   ,3.0,2.0,1.0
3,119 01 0 479.00,SINGLE FAMILY,NASHVILLE,2013-01-18,32000,No,No,NASHVILLE,TN,0.17,3130.0,25000.0,243700.0,268700.0,2145.60001,FULL BSMT,1948.0,BRICK/FRAME,B   ,4.0,2.0,0.0
4,119 05 0 186.00,SINGLE FAMILY,NASHVILLE,2013-01-23,102000,No,No,NASHVILLE,TN,0.34,3130.0,25000.0,138100.0,164800.0,1969.0,CRAWL,1910.0,FRAME,C   ,2.0,1.0,0.0
5,119 05 0 387.00,SINGLE FAMILY,NASHVILLE,2013-01-04,93736,No,No,NASHVILLE,TN,0.17,3130.0,25000.0,86100.0,113300.0,1037.0,CRAWL,1945.0,FRAME,C   ,2.0,1.0,0.0
6,119 10 0A 104.00,RESIDENTIAL CONDO,NASHVILLE,2013-01-07,64900,No,No,,,,,,,,,,,,,,,
7,119 13 0 183.00,SINGLE FAMILY,NASHVILLE,2013-01-15,44000,No,No,NASHVILLE,TN,0.2,3179.0,16000.0,68100.0,84300.0,1216.0,CRAWL,1932.0,FRAME,D   ,2.0,1.0,0.0
8,119 13 0 183.00,SINGLE FAMILY,NASHVILLE,2013-01-25,49900,No,No,NASHVILLE,TN,0.2,3179.0,16000.0,68100.0,84300.0,1216.0,CRAWL,1932.0,FRAME,D   ,2.0,1.0,0.0
9,119 15 0 158.00,SINGLE FAMILY,NASHVILLE,2013-01-09,25000,No,No,NASHVILLE,TN,0.4,3131.0,25000.0,57100.0,88400.0,1152.0,CRAWL,1945.0,FRAME,C   ,2.0,1.0,0.0
10,133 07 0 195.00,SINGLE FAMILY,NASHVILLE,2013-01-18,90000,No,No,NASHVILLE,TN,0.34,3131.0,25000.0,80100.0,105100.0,1300.0,CRAWL,1955.0,BRICK,C   ,2.0,1.0,0.0
11,133 12 0 153.00,SINGLE FAMILY,NASHVILLE,2013-01-11,72000,No,No,NASHVILLE,TN,0.23,3926.0,21500.0,87900.0,109400.0,1175.0,CRAWL,1968.0,BRICK,C   ,3.0,1.0,1.0
12,133 12 0 268.00,SINGLE FAMILY,NASHVILLE,2013-01-04,120000,No,No,NASHVILLE,TN,0.29,3926.0,21500.0,107800.0,129300.0,1825.0,SLAB,1978.0,BRICK,C   ,7.0,2.0,0.0
